notes,category,amount_idr,month,is_weekend,day_of_week
setor tunai ke tabungan,tabungan,2674000,2,True,Sunday
top up kartu etoll,transportasi,67000,2,True,Sunday
naik angkot ke pasar,transportasi,8000,2,False,Monday
uang sewa bulan ini,tempat_tinggal,1467000,2,False,Monday
beli kopi pagi,makanan,43000,2,False,Monday
bayar wifi rumah,tagihan,205000,2,False,Monday
bayar les privat,pendidikan,252000,2,False,Monday
pesan pizza online,makanan,140000,2,False,Monday
top up kartu etoll,transportasi,80000,2,False,Tuesday
beli peralatan kebersihan,lainnya,197000,2,False,Tuesday
beli deterjen,lainnya,115000,2,False,Tuesday
reward pencapaian target,bonus,3450000,2,False,Tuesday
bayar tagihan rs,kesehatan,2144000,2,False,Wednesday
beli jajanan pasar,makanan,64000,2,False,Wednesday
pesan burger online,makanan,78000,2,False,Wednesday
bayar parkir inap,transportasi,17000,2,False,Thursday
makan di mcdonald,makanan,57000,2,False,Friday
bayar cicilan motor,tagihan,337000,2,False,Friday
main biliar,hiburan,198000,2,False,Friday
bonus performance review,bonus,3757000,2,True,Saturday
sarapan nasi uduk,makanan,58000,2,True,Saturday
beli jajanan pasar,makanan,73000,2,True,Saturday
servis rutin motor,transportasi,633000,2,True,Saturday
top up kartu etoll,transportasi,48000,2,True,Saturday
simpan untuk keperluan mendesak,tabungan,3308000,2,True,Sunday
main game online,hiburan,101000,2,True,Sunday
bayar bpjs ketenagakerjaan,tagihan,347000,2,True,Sunday
bayar kursus coding,pendidikan,1384000,2,True,Sunday
makan malam di restoran,makanan,82000,2,True,Sunday
makan di warung padang,makanan,47000,2,True,Sunday
bayar parkir inap,transportasi,10000,2,False,Monday
transfer salary bulan ini,gaji,19008000,2,False,Monday
biaya sewa studio,tempat_tinggal,1314000,2,False,Monday
beli keperluan dapur,lainnya,284000,2,False,Monday
bayar premium spotify,tagihan,230000,2,False,Monday
langganan hbo max,hiburan,176000,2,False,Monday
bayar deposit apartemen,tempat_tinggal,8820000,3,False,Tuesday
bayar sewa apartemen,tempat_tinggal,9240000,3,False,Tuesday
bayar asuransi jiwa,tagihan,1102000,3,False,Wednesday
beli laptop pelajar,pendidikan,16380000,3,False,Wednesday
sarapan di warung,makanan,157000,3,False,Wednesday
bayar kos bulanan,tempat_tinggal,2395000,3,False,Wednesday
beli voucher game,hiburan,162000,3,False,Wednesday
bayar kursus desain,pendidikan,695000,3,False,Thursday
pesan mie ayam,makanan,59000,3,False,Thursday
bayar tagihan air,tagihan,94000,3,False,Friday
pesan grabfood,makanan,77000,3,True,Saturday
bayar deposit apartemen,tempat_tinggal,4380000,3,True,Saturday
main bowling,hiburan,298000,3,True,Saturday
iuran kebersihan lingkungan,tempat_tinggal,90000,3,True,Saturday
makan siang bareng teman,makanan,90000,3,True,Saturday
servis ac mobil,transportasi,924000,3,True,Sunday
bayar kursus coding,pendidikan,576000,3,True,Sunday
streaming disney,hiburan,79000,3,False,Monday
bayar sewa rumah,tempat_tinggal,2690000,3,False,Monday
return reksa dana obligasi,investasi,1269000,3,False,Tuesday
konsultasi psikolog,kesehatan,528000,3,False,Tuesday
main escape room,hiburan,157000,3,False,Tuesday
beli bubur pagi,makanan,48000,3,False,Wednesday
deposit awal sewa,tempat_tinggal,8108000,3,False,Wednesday
beli gorengan sore,makanan,7000,3,False,Wednesday
makan di warteg,makanan,150000,3,False,Wednesday
beli laptop pelajar,pendidikan,13230000,3,False,Thursday
pesan gofood malam,makanan,96000,3,False,Friday
bayar kursus coding,pendidikan,870000,3,False,Friday
isi bensin motor,transportasi,119000,3,False,Friday
jasa pengelolaan media sosial,freelance,4659000,3,True,Saturday
bayar tagihan rs,kesehatan,2240000,3,True,Saturday
keuntungan crypto harian,investasi,4988000,3,True,Sunday
beli suplemen daya tahan,kesehatan,420000,3,True,Sunday
naik taksi online,transportasi,97000,3,True,Sunday
naik angkot ke pasar,transportasi,8000,3,False,Monday
transfer tabungan pendidikan anak,tabungan,1689000,3,False,Monday
transfer tabungan pendidikan anak,tabungan,787000,3,False,Monday
makan di warung padang,makanan,108000,3,False,Tuesday
bayar bpjs kesehatan,tagihan,286000,3,False,Tuesday
konsultasi kulit,kesehatan,283000,3,False,Tuesday
bonus akhir tahun,bonus,1678000,3,False,Tuesday
naik ojek online,transportasi,119000,3,False,Tuesday
streaming disney,hiburan,63000,3,False,Wednesday
beli roti pagi,makanan,11000,3,False,Wednesday
belanja online,lainnya,59000,3,False,Wednesday
bayar tagihan rs,kesehatan,1254000,3,False,Wednesday
sewa kos bulanan,tempat_tinggal,2888000,3,False,Thursday
iuran kebersihan lingkungan,tempat_tinggal,105000,3,False,Thursday
bayar asuransi jiwa,tagihan,457000,3,False,Thursday
sewa kos bulanan,tempat_tinggal,1238000,3,False,Thursday
naik angkot ke pasar,transportasi,13000,3,False,Thursday
bayar ipl apartemen,tempat_tinggal,3874000,3,False,Thursday
ganti ban motor,transportasi,426000,3,False,Friday
beli kopi pagi,makanan,59000,3,True,Saturday
bayar ipl apartemen,tempat_tinggal,7560000,3,True,Saturday
langganan spotify premium,hiburan,42000,3,True,Sunday
tagihan pln bulan ini,tagihan,319000,3,True,Sunday
bayar asuransi jiwa,tagihan,386000,3,True,Sunday
main bowling,hiburan,124000,3,True,Sunday
bayar tv kabel,tagihan,251000,3,False,Monday
transfer payroll kantor,gaji,13287000,3,False,Monday
makan di resto jepang,makanan,137000,3,False,Monday
naik travel antar kota,transportasi,82000,3,False,Monday
iuran kebersihan lingkungan,tempat_tinggal,105000,3,False,Monday
beli cilok,makanan,74000,3,False,Monday
deposit awal sewa,tempat_tinggal,7496000,3,False,Tuesday
tes laboratorium,kesehatan,214000,3,False,Tuesday
top up kartu etoll,transportasi,23000,3,False,Tuesday
bayar bpjs ketenagakerjaan,tagihan,411000,3,False,Tuesday
bayar bpjs ketenagakerjaan,tagihan,426000,3,False,Tuesday
ongkos naik ojek,transportasi,91000,3,False,Tuesday
makan berdua di cafe,makanan,107000,3,False,Tuesday
bayar asuransi jiwa,tagihan,710000,3,False,Tuesday
naik krl commuter line,transportasi,58000,3,False,Wednesday
bayar sewa rumah,tempat_tinggal,3038000,3,False,Thursday
pesan grabfood,makanan,113000,3,False,Thursday
bayar cicilan hp,tagihan,175000,3,False,Thursday
biaya pengelolaan apartemen,tempat_tinggal,7085000,3,False,Thursday
makan berdua di cafe,makanan,50000,3,False,Thursday
top up kartu etoll,transportasi,61000,3,False,Thursday
bayaran proyek freelance,freelance,4798000,3,False,Friday
beli bakso pinggir jalan,makanan,43000,3,False,Friday
bayar seminar online,pendidikan,502000,3,False,Friday
beli roti pagi,makanan,15000,3,False,Friday
biaya sewa studio,tempat_tinggal,987000,3,False,Friday
bayar premi asuransi,tagihan,751000,3,False,Friday
pesan burger online,makanan,123000,3,True,Saturday
bayar parkir inap,transportasi,13000,3,True,Saturday
belanja kebutuhan bulanan,lainnya,189000,3,True,Saturday
keuntungan dari portofolio,investasi,2861000,3,True,Sunday
main bowling,hiburan,251000,3,True,Sunday
tagihan pln bulan ini,tagihan,403000,3,True,Sunday
beli saham blue chip,investasi,4578000,3,True,Sunday
bayar tagihan gas,tagihan,64000,3,False,Monday
makan di warteg,makanan,90000,3,False,Monday
beli tiket pertandingan,hiburan,226000,3,False,Monday
bayar kos minggu pertama,tempat_tinggal,682000,3,False,Monday
beli skin game,hiburan,148000,3,False,Monday
top up reksa dana campuran,investasi,3652000,3,False,Monday
beli jajanan pasar,makanan,34000,3,False,Monday
bayar premi asuransi,tagihan,386000,3,False,Monday
sarapan di warung,makanan,105000,3,False,Tuesday
beli gorengan sore,makanan,15000,3,False,Tuesday
makan di resto jepang,makanan,92000,3,False,Tuesday
makan di warteg,makanan,84000,3,False,Wednesday
beli minuman kekinian,makanan,81000,3,False,Wednesday
gaji plus tunjangan,gaji,28875000,3,False,Wednesday
biaya bensin mobil,transportasi,128000,3,False,Wednesday
menabung rutin bulanan,tabungan,1159000,3,False,Wednesday
sarapan di warung,makanan,68000,3,False,Wednesday
makan di kantin,makanan,18000,3,False,Wednesday
makan di warung padang,makanan,100000,3,False,Thursday
bayar kontrakan,tempat_tinggal,3780000,4,False,Friday
bayaran proyek freelance,freelance,6153000,4,False,Friday
bayar tagihan phone,tagihan,248000,4,True,Saturday
gaji periode ini masuk,gaji,10745000,4,True,Sunday
makan di resto jepang,makanan,44000,4,True,Sunday
beli tiket festival,hiburan,222000,4,True,Sunday
main futsal,hiburan,153000,4,False,Monday
naik angkot ke pasar,transportasi,8000,4,False,Monday
penerimaan upah kerja,gaji,25200000,4,False,Tuesday
bayar sewa apartemen,tempat_tinggal,5621000,4,False,Tuesday
bayar kos minggu pertama,tempat_tinggal,1049000,4,False,Tuesday
biaya sewa studio,tempat_tinggal,1496000,4,False,Tuesday
naik travel antar kota,transportasi,204000,4,False,Tuesday
beli voucher game,hiburan,118000,4,False,Tuesday
main bowling,hiburan,107000,4,False,Wednesday
jasa produksi podcast,freelance,7811000,4,False,Wednesday
perpanjang kontrak rumah,tempat_tinggal,2482000,4,False,Wednesday
pengeluaran harian,lainnya,346000,4,False,Wednesday
makan berdua di cafe,makanan,133000,4,False,Wednesday
langganan netflix bulanan,hiburan,116000,4,False,Thursday
pesan burger online,makanan,159000,4,False,Thursday
pesan shopeefood siang,makanan,98000,4,False,Thursday
beli aksesoris rumah,lainnya,236000,4,False,Thursday
bayar kontrakan,tempat_tinggal,3027000,4,False,Thursday
ganti ban motor,transportasi,269000,4,False,Friday
bayar tv kabel,tagihan,234000,4,False,Friday
bayar tol,transportasi,91000,4,False,Friday
bayar asuransi jiwa,tagihan,657000,4,False,Friday
main escape room,hiburan,177000,4,False,Friday
menabung untuk beli rumah,tabungan,1505000,4,True,Saturday
bayar kos minggu pertama,tempat_tinggal,1866000,4,True,Saturday
deposit awal sewa,tempat_tinggal,10500000,4,True,Saturday
pengeluaran harian,lainnya,110000,4,True,Sunday
bayar cek mata,kesehatan,321000,4,True,Sunday
penerimaan gaji pokok,gaji,25200000,4,True,Sunday
makan di kantin,makanan,24000,4,False,Monday
beli obat bebas,kesehatan,201000,4,False,Monday
makan di warung padang,makanan,51000,4,False,Monday
isi saldo emoney,transportasi,141000,4,False,Monday
bayar mcu tahunan,kesehatan,348000,4,False,Monday
pesan ayam geprek,makanan,42000,4,False,Tuesday
bayar tagihan phone,tagihan,441000,4,False,Tuesday
bayar wifi rumah,tagihan,682000,4,False,Tuesday
tagihan pln bulan ini,tagihan,364000,4,False,Wednesday
naik grab ke kantor,transportasi,36000,4,False,Wednesday
transfer gaji dari hrd,gaji,12399000,4,False,Thursday
pesan shopeefood siang,makanan,75000,4,False,Thursday
pesan nasi goreng online,makanan,37000,4,False,Thursday
pengeluaran mendadak,lainnya,142000,4,False,Thursday
pesan grabfood,makanan,102000,4,False,Thursday
ongkos naik ojek,transportasi,173000,4,False,Thursday
langganan hbo max,hiburan,110000,4,False,Thursday
keuntungan dari portofolio,investasi,4647000,4,False,Thursday
bayar sewa rumah,tempat_tinggal,5250000,4,False,Thursday
tagihan pln bulan ini,tagihan,331000,4,False,Friday
bayar tagihan rs,kesehatan,517000,4,False,Friday
gaji periode ini masuk,gaji,10416000,4,False,Friday
bayar tagihan air,tagihan,150000,4,False,Friday
beli sbn ritel,investasi,5436000,4,False,Friday
bayar deposit apartemen,tempat_tinggal,4576000,4,True,Saturday
naik travel antar kota,transportasi,84000,4,True,Saturday
beli es teh manis,makanan,24000,4,True,Saturday
naik mrt jakarta,transportasi,147000,4,True,Saturday
beli kopi pagi,makanan,32000,4,True,Saturday
beli minuman kekinian,makanan,79000,4,True,Saturday
thr perusahaan,bonus,9920000,4,True,Sunday
pembayaran gaji karyawan,gaji,8349000,4,True,Sunday
biaya keamanan komplek,tempat_tinggal,4620000,4,True,Sunday
beli snack kantor,makanan,29000,4,True,Sunday
beli cilok,makanan,183000,4,True,Sunday
beli kopi pagi,makanan,63000,4,False,Monday
reward pencapaian target,bonus,5166000,4,False,Monday
bayar kursus coding,pendidikan,692000,4,False,Monday
beli saham teknologi,investasi,6232000,4,False,Tuesday
makan di kantin,makanan,32000,4,False,Tuesday
beli nasi padang,makanan,60000,4,False,Wednesday
beli kartu krl,transportasi,147000,4,False,Wednesday
bayar deposit apartemen,tempat_tinggal,3604000,4,False,Wednesday
simpan dana darurat,tabungan,6037000,4,False,Wednesday
uang muka sewa kos,tempat_tinggal,1700000,4,False,Thursday
insentif penjualan,bonus,3755000,4,False,Thursday
insentif bulanan,bonus,3557000,4,False,Thursday
bayar seminar online,pendidikan,284000,4,False,Thursday
makan soto ayam,makanan,110000,4,False,Thursday
beli bubur pagi,makanan,20000,4,False,Friday
bonus proyek selesai,bonus,4910000,4,False,Friday
makan berdua di cafe,makanan,48000,4,False,Friday
bayar kontrakan,tempat_tinggal,2899000,4,False,Friday
bayar deposit apartemen,tempat_tinggal,8820000,4,False,Friday
beli vitamin dan suplemen,kesehatan,128000,4,False,Friday
langganan youtube premium,hiburan,126000,4,True,Saturday
pesan martabak,makanan,101000,4,True,Saturday
fee jasa copywriting,freelance,5520000,4,True,Saturday
pesan gofood malam,makanan,79000,4,True,Saturday
tagihan pln bulan ini,tagihan,386000,4,True,Sunday
beli snack kantor,makanan,45000,4,True,Sunday
beli tiket kereta,transportasi,450000,4,True,Sunday
konsultasi kulit,kesehatan,523000,4,True,Sunday
beli perlengkapan kamar,lainnya,168000,4,True,Sunday
naik gojek pulang,transportasi,36000,4,True,Sunday
bayar tv kabel,tagihan,682000,4,True,Sunday
pesan pizza online,makanan,105000,4,False,Monday
pesan burger online,makanan,62000,4,False,Monday
konsultasi ke dokter umum,kesehatan,495000,4,False,Monday
sarapan nasi uduk,makanan,83000,4,False,Tuesday
bayar bpjs ketenagakerjaan,tagihan,127000,4,False,Tuesday
langganan hbo max,hiburan,192000,4,False,Wednesday
beli topup game,hiburan,91000,4,False,Wednesday
bayaran proyek desain ui,freelance,2684000,4,False,Thursday
pesan burger online,makanan,99000,4,False,Thursday
makan di warung padang,makanan,93000,4,False,Thursday
beli buku impor,pendidikan,268000,4,False,Thursday
bayaran proyek desain ui,freelance,3039000,4,False,Thursday
proyek desain presentasi,freelance,3075000,4,False,Thursday
bayar asuransi jiwa,tagihan,625000,4,False,Thursday
beli minuman kekinian,makanan,105000,4,False,Thursday
perpanjang kontrak rumah,tempat_tinggal,3928000,4,False,Friday
makan soto ayam,makanan,66000,4,False,Friday
iuran rt bulanan,tempat_tinggal,158000,4,False,Friday
beli aplikasi belajar,pendidikan,70000,4,True,Saturday
belanja mingguan,lainnya,220000,4,True,Saturday
beli roti pagi,makanan,18000,4,True,Saturday
pengeluaran mendadak,lainnya,410000,4,True,Saturday
beli hadiah teman,lainnya,154000,5,True,Sunday
beli kamus,pendidikan,301000,5,True,Sunday
deposit awal sewa,tempat_tinggal,5939000,5,True,Sunday
sewa kos bulanan,tempat_tinggal,1535000,5,True,Sunday
beli masker kesehatan,kesehatan,398000,5,False,Monday
bayar cicilan hp,tagihan,166000,5,False,Monday
main biliar,hiburan,148000,5,False,Tuesday
bayar les privat,pendidikan,179000,5,False,Tuesday
perpanjang sewa kos,tempat_tinggal,2073000,5,False,Tuesday
langganan netflix bulanan,hiburan,195000,5,False,Wednesday
makan di kfc,makanan,55000,5,False,Wednesday
beli kartu krl,transportasi,96000,5,False,Wednesday
tagihan provider bulan ini,tagihan,162000,5,False,Thursday
bayar bpjs kesehatan,tagihan,506000,5,False,Thursday
gaji pokok bulanan,gaji,10833000,5,False,Friday
beli saham teknologi,investasi,6416000,5,False,Friday
main game online,hiburan,150000,5,False,Friday
konsultasi gigi,kesehatan,423000,5,False,Friday
bayar kontrakan,tempat_tinggal,3681000,5,True,Saturday
pesan pizza online,makanan,157000,5,True,Saturday
beli jajanan pasar,makanan,31000,5,True,Saturday
pesan burger online,makanan,114000,5,True,Sunday
deposit awal sewa,tempat_tinggal,4850000,5,True,Sunday
bayar tagihan air,tagihan,50000,5,False,Monday
naik taksi online,transportasi,125000,5,False,Monday
beli tiket konser,hiburan,1050000,5,False,Tuesday
beli bubur pagi,makanan,21000,5,False,Tuesday
menabung untuk beli rumah,tabungan,2421000,5,False,Tuesday
beli kartu krl,transportasi,205000,5,False,Wednesday
beli nasi padang,makanan,132000,5,False,Wednesday
bayar kursus coding,pendidikan,1418000,5,False,Wednesday
sarapan di warung,makanan,128000,5,False,Wednesday
bayar ipl apartemen,tempat_tinggal,5681000,5,False,Wednesday
makan di resto jepang,makanan,46000,5,False,Thursday
beli obat bebas,kesehatan,183000,5,False,Friday
ganti oli motor,transportasi,94000,5,False,Friday
beli tiket festival,hiburan,315000,5,True,Saturday
belanja kebutuhan dapur,lainnya,204000,5,True,Saturday
makan di kantin,makanan,27000,5,True,Sunday
beli bubur pagi,makanan,31000,5,True,Sunday
isi bensin motor,transportasi,168000,5,False,Monday
tagihan pln bulan ini,tagihan,525000,5,False,Monday
main game online,hiburan,84000,5,False,Monday
biaya keamanan komplek,tempat_tinggal,2724000,5,False,Monday
bayar sewa rumah,tempat_tinggal,2789000,5,False,Tuesday
bayar sewa rumah,tempat_tinggal,1912000,5,False,Tuesday
pesan gofood malam,makanan,66000,5,False,Tuesday
bayar deposit apartemen,tempat_tinggal,6207000,5,False,Tuesday
servis ac mobil,transportasi,504000,5,False,Wednesday
beli snack kantor,makanan,25000,5,False,Wednesday
perpanjang kontrak rumah,tempat_tinggal,1944000,5,False,Wednesday
biaya bensin mobil,transportasi,178000,5,False,Wednesday
main biliar,hiburan,95000,5,False,Wednesday
bayar kos bulanan,tempat_tinggal,2348000,5,False,Thursday
bayar tagihan rs,kesehatan,1498000,5,False,Thursday
beli nasi padang,makanan,53000,5,False,Thursday
pesan grabfood,makanan,73000,5,False,Thursday
uang muka sewa kos,tempat_tinggal,1166000,5,False,Thursday
gaji plus lembur,gaji,13690000,5,False,Friday
bayar tagihan air,tagihan,158000,5,False,Friday
beli cilok,makanan,41000,5,False,Friday
beli perlengkapan ibadah,lainnya,176000,5,False,Friday
pengeluaran tak terduga,lainnya,189000,5,False,Friday
insentif bulanan,bonus,3399000,5,False,Friday
tabungan masa depan,tabungan,1738000,5,True,Saturday
ganti oli motor,transportasi,107000,5,True,Saturday
bayar paket data,tagihan,108000,5,True,Sunday
investasi reksa dana pasar uang,investasi,2142000,5,True,Sunday
bayar sewa apartemen,tempat_tinggal,9689000,5,True,Sunday
bayar cicilan sewa tahunan,tempat_tinggal,2414000,5,False,Monday
beli perlengkapan ibadah,lainnya,346000,5,False,Monday
bayar workshop desain,pendidikan,296000,5,False,Monday
bayar tagihan gas,tagihan,64000,5,False,Tuesday
makan di warteg,makanan,47000,5,False,Tuesday
makan malam di restoran,makanan,64000,5,False,Tuesday
bayar cicilan motor,tagihan,146000,5,False,Tuesday
main biliar,hiburan,183000,5,False,Tuesday
simpan untuk keperluan mendesak,tabungan,2677000,5,False,Wednesday
isi bensin motor,transportasi,107000,5,False,Wednesday
makan di resto jepang,makanan,112000,5,False,Wednesday
makan di food court,makanan,79000,5,False,Friday
beli tiket bus,transportasi,15000,5,False,Friday
beli perlengkapan kamar,lainnya,346000,5,True,Saturday
langganan spotify premium,hiburan,66000,5,True,Saturday
makan di mcdonald,makanan,74000,5,True,Sunday
makan siang bareng teman,makanan,58000,5,True,Sunday
uang sewa bulan ini,tempat_tinggal,1066000,5,False,Monday
transfer gaji dari hrd,gaji,10868000,5,False,Tuesday
makan di food court,makanan,80000,5,False,Tuesday
top up tabungan emas,investasi,1097000,5,False,Tuesday
sarapan nasi uduk,makanan,82000,6,False,Wednesday
naik gojek pulang,transportasi,39000,6,False,Wednesday
reward pencapaian target,bonus,2903000,6,False,Wednesday
bayar kontrakan,tempat_tinggal,2226000,6,False,Wednesday
ganti ban motor,transportasi,438000,6,False,Wednesday
iuran rt bulanan,tempat_tinggal,138000,6,False,Thursday
makan di warteg,makanan,56000,6,False,Thursday
bayar imunisasi,kesehatan,472000,6,False,Thursday
bayar bootcamp,pendidikan,361000,6,False,Friday
makan di resto jepang,makanan,87000,6,False,Friday
simpan untuk keperluan mendesak,tabungan,2119000,6,False,Friday
bayar uang kebersihan,tempat_tinggal,75000,6,False,Friday
isi bensin motor,transportasi,269000,6,False,Friday
pesan nasi goreng online,makanan,50000,6,False,Friday
beli obat anak,kesehatan,138000,6,False,Friday
pesan gofood malam,makanan,92000,6,True,Saturday
perpanjang paket internet,tagihan,164000,6,True,Saturday
belanja online,lainnya,175000,6,True,Saturday
bayar parkir mall,transportasi,19000,6,True,Saturday
beli nasi padang,makanan,88000,6,True,Sunday
belanja online,lainnya,160000,6,True,Sunday
bayar tagihan rs,kesehatan,597000,6,True,Sunday
iuran rt bulanan,tempat_tinggal,80000,6,False,Monday
makan di food court,makanan,99000,6,False,Monday
iuran kebersihan lingkungan,tempat_tinggal,65000,6,False,Monday
nonton konser online,hiburan,397000,6,False,Tuesday
beli suplemen daya tahan,kesehatan,431000,6,False,Tuesday
bayar fisioterapi,kesehatan,184000,6,False,Tuesday
bayar tagihan air,tagihan,139000,6,False,Tuesday
konsultasi ke dokter umum,kesehatan,325000,6,False,Tuesday
beli gorengan sore,makanan,8000,6,False,Wednesday
tagihan provider bulan ini,tagihan,210000,6,False,Wednesday
tagihan pln bulan ini,tagihan,197000,6,False,Thursday
beli bakso pinggir jalan,makanan,113000,6,False,Thursday
bayar tagihan gas,tagihan,127000,6,False,Thursday
main escape room,hiburan,132000,6,False,Friday
servis ac mobil,transportasi,924000,6,False,Friday
biaya pengelolaan apartemen,tempat_tinggal,4513000,6,False,Friday
beli perlengkapan kamar,lainnya,207000,6,False,Friday
bayar ukt semester,pendidikan,385000,6,True,Saturday
beli roti pagi,makanan,16000,6,True,Saturday
bayar kursus online,pendidikan,1198000,6,True,Saturday
bayar paket data,tagihan,156000,6,True,Sunday
makan soto ayam,makanan,56000,6,True,Sunday
langganan netflix bulanan,hiburan,234000,6,True,Sunday
beli voucher game,hiburan,61000,6,False,Monday
beli deterjen,lainnya,254000,6,False,Monday
insentif penjualan,bonus,5438000,6,False,Tuesday
beli minuman kekinian,makanan,53000,6,False,Tuesday
deposit awal sewa,tempat_tinggal,5613000,6,False,Tuesday
beli es teh manis,makanan,11000,6,False,Tuesday
bonus triwulan,bonus,2517000,6,False,Wednesday
thr perusahaan,bonus,8285000,6,False,Wednesday
perpanjang kontrak rumah,tempat_tinggal,6060000,6,False,Wednesday
bayar kartu kredit,tagihan,634000,6,False,Thursday
bayar wifi rumah,tagihan,479000,6,False,Thursday
top up kartu etoll,transportasi,41000,6,False,Thursday
beli skin game,hiburan,104000,6,False,Friday
makan soto ayam,makanan,44000,6,False,Friday
naik bus transjakarta,transportasi,13000,6,False,Friday
bayar bpjs ketenagakerjaan,tagihan,425000,6,True,Saturday
nonton konser online,hiburan,1050000,6,True,Sunday
sarapan di warung,makanan,56000,6,True,Sunday
beli peralatan sekolah,pendidikan,152000,6,False,Monday
beli jajanan pasar,makanan,86000,6,False,Monday
iuran kebersihan lingkungan,tempat_tinggal,76000,6,False,Monday
bayar bpjs ketenagakerjaan,tagihan,219000,6,False,Tuesday
naik taksi online,transportasi,153000,6,False,Tuesday
beli hadiah teman,lainnya,167000,6,False,Tuesday
beli topup game,hiburan,112000,6,False,Tuesday
bayar kos minggu pertama,tempat_tinggal,2156000,6,False,Wednesday
pesan nasi goreng online,makanan,33000,6,False,Wednesday
pesan ayam geprek,makanan,22000,6,False,Wednesday
beli modul belajar,pendidikan,263000,6,False,Thursday
beli tiket pertandingan,hiburan,279000,6,False,Thursday
beli tiket bus,transportasi,14000,6,False,Thursday
beli keperluan dapur,lainnya,136000,6,False,Friday
makan di kantin,makanan,42000,6,False,Friday
ganti ban motor,transportasi,513000,6,False,Friday
investasi pp lending,investasi,2498000,6,False,Friday
naik grab ke kantor,transportasi,42000,6,False,Friday
bayar langganan icloud,tagihan,28000,6,False,Friday
bayaran proyek freelance,freelance,10375000,6,False,Friday
makan di mcdonald,makanan,110000,6,True,Saturday
beli tiket kereta,transportasi,304000,6,True,Saturday
naik gojek pulang,transportasi,35000,6,True,Sunday
konsultasi psikolog,kesehatan,213000,6,True,Sunday
langganan spotify premium,hiburan,32000,6,True,Sunday
beli aksesoris rumah,lainnya,99000,6,True,Sunday
beli alat tulis,pendidikan,64000,6,False,Tuesday
beli ori pemerintah,investasi,5775000,6,False,Tuesday
biaya keamanan komplek,tempat_tinggal,5040000,6,False,Tuesday
konsultasi gigi,kesehatan,373000,6,False,Tuesday
bayar paket data,tagihan,110000,6,False,Wednesday
keuntungan investasi saham,investasi,3354000,6,False,Thursday
jasa produksi podcast,freelance,4352000,6,False,Thursday
gaji pokok bulanan,gaji,8811000,6,False,Thursday
bayar langganan icloud,tagihan,27000,7,False,Friday
naik gojek pulang,transportasi,26000,7,False,Friday
bayar tagihan gas,tagihan,74000,7,False,Friday
setor tunai ke tabungan,tabungan,913000,7,False,Friday
main futsal,hiburan,186000,7,True,Saturday
bayar tol,transportasi,36000,7,True,Saturday
setor tunai ke tabungan,tabungan,1756000,7,True,Sunday
beli tiket kereta,transportasi,525000,7,False,Monday
naik taksi online,transportasi,82000,7,False,Monday
beli kebutuhan pribadi,lainnya,61000,7,False,Monday
bayar kursus online,pendidikan,773000,7,False,Tuesday
naik grab ke kantor,transportasi,49000,7,False,Tuesday
beli es teh manis,makanan,21000,7,False,Tuesday
iuran rt bulanan,tempat_tinggal,61000,7,False,Tuesday
beli kamus,pendidikan,423000,7,False,Tuesday
pesan pizza online,makanan,87000,7,False,Tuesday
bayar tagihan listrik,tagihan,458000,7,False,Tuesday
penerimaan gaji pokok,gaji,27300000,7,False,Tuesday
pesan burger online,makanan,62000,7,False,Tuesday
bonus akhir tahun,bonus,3036000,7,False,Wednesday
bayar sewa rumah,tempat_tinggal,4115000,7,False,Wednesday
naik grab ke kantor,transportasi,47000,7,False,Wednesday
karaoke bareng teman,hiburan,273000,7,False,Wednesday
makan di kantin,makanan,28000,7,False,Wednesday
makan di kantin,makanan,23000,7,False,Thursday
pesan nasi goreng online,makanan,38000,7,False,Thursday
naik angkot ke pasar,transportasi,11000,7,False,Friday
proyek website klien,freelance,10771000,7,False,Friday
uang sewa bulan ini,tempat_tinggal,2391000,7,False,Friday
bayar tagihan air,tagihan,110000,7,True,Saturday
menabung untuk beli rumah,tabungan,1907000,7,True,Saturday
beli sbn ritel,investasi,8155000,7,True,Saturday
belanja online,lainnya,165000,7,True,Saturday
biaya bensin mobil,transportasi,108000,7,True,Saturday
makan di warteg,makanan,136000,7,True,Saturday
bonus ekstra dari kantor,bonus,2010000,7,True,Saturday
simpan dana darurat,tabungan,2334000,7,True,Sunday
beli cilok,makanan,68000,7,True,Sunday
belanja online,lainnya,378000,7,False,Monday
beli es teh manis,makanan,7000,7,False,Monday
transfer gaji dari hrd,gaji,21000000,7,False,Monday
perpanjang sewa kos,tempat_tinggal,2883000,7,False,Monday
gaji diterima bulan ini,gaji,13203000,7,False,Monday
naik krl commuter line,transportasi,116000,7,False,Tuesday
keperluan rumah tangga,lainnya,188000,7,False,Tuesday
beli bakso pinggir jalan,makanan,117000,7,False,Tuesday
beli tiket pertandingan,hiburan,392000,7,False,Tuesday
beli cilok,makanan,103000,7,False,Tuesday
isi saldo emoney,transportasi,112000,7,False,Tuesday
bayar uang kebersihan,tempat_tinggal,69000,7,False,Tuesday
makan malam di restoran,makanan,136000,7,False,Tuesday
perpanjang sewa kos,tempat_tinggal,1384000,7,False,Wednesday
tabungan masa depan,tabungan,2908000,7,False,Wednesday
pesan burger online,makanan,110000,7,False,Wednesday
pesan mie ayam,makanan,32000,7,False,Wednesday
bayar tagihan phone,tagihan,488000,7,False,Wednesday
bayar deposit apartemen,tempat_tinggal,5675000,7,False,Friday
